"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",618,6,68,11.2244897959184,0.539986667859818,0.136358810984904,0.471255402913365,54,58.6333333333333,29.8,25.9,27.95
"2","P100",619,6,45,15.3061224489796,0.572202144765738,0.154505520169684,0.467737575953147,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",620,6,25,30.8510638297872,0.387664560568616,0.144316378076672,0.548391546913702,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",621,6,61,19,0.557819630753437,0.116154368200321,0.429094500292582,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",622,6,27,-1,0.256454604359386,0.067678545792901,0.212709305005241,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",623,6,92,23,0.471588015931286,0.123050169768611,0.384812194719373,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",624,6,61,11,0.654198346527932,0.0893769644188301,0.285590198515828,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",625,6,68,21,0.573873832737263,0.173205785848174,0.556333107604873,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",626,6,46,27.0833333333333,0.382474788036572,0.116638889180883,0.379506006915986,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",627,6,43,28,0.440654291324927,0.155390572760718,0.533892463497571,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",628,6,35,16,0.384891942347036,0.11943839836975,0.371533821395526,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",629,6,94,34.6938775510204,0.418994351963817,0.126319527529303,0.404218736326167,42.1,82.4,0,0,3.5
"13","P110",630,6,88,17,0.660147408745317,0.100466418624961,0.30959657358988,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",631,6,73,16.3265306122449,0.519287809010778,0.146004502447346,0.536946190480889,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",632,6,64,23,0.456098712669881,0.139791715263768,0.561329629658827,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",633,6,60,22,0.4830560207903,0.176192167305798,0.576932193313541,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",634,6,78,27.5510204081633,0.598347873050186,0.182496068000984,0.699186900897248,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",635,6,42,20,0.51477977972211,0.181892401166763,0.544239714184139,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",636,6,54,17.7083333333333,0.373891978976346,0.122059825311583,0.404650397645009,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",637,6,38,12,0.336501209407483,0.0973210971341165,0.379741868297538,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",638,6,46,9,0.426402581761279,0.0827427199199724,0.252868047721472,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",639,6,59,15,0.656918566786023,0.172596165894368,0.573061694397677,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",640,6,66,-1,0.558925853670607,0.171978527750538,0.529491879804832,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",641,6,58,18,0.44348873464751,0.12242016911343,0.356683239303042,19.75,67.0555555555556,87,25.7222222222222,17
"25","P14",642,6,38,20,0.44891264423361,0.158020579241641,0.550292311545765,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",643,6,29,-1,0.425467678726183,0.115421648893291,0.347060290713575,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",644,6,62,35,0.504909967422439,0.140535503808829,0.466272986026294,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",645,6,67,6,0.539814796952106,0.124474443014682,0.41481196224702,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",646,6,53,20,0.634069725415497,0.103442464330741,0.414548782573688,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",647,6,71,15,0.550459855631509,0.189953096334409,0.647823908805518,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
"31","P20",648,6,49,15.8536585365854,0.60838635044157,0.166052976423344,0.584289626273845,36.0322580645161,47.8709677419355,27.5161290322581,47.5161290322581,36.8225806451613
"32","P21",649,6,60,16,0.445120802404055,0.123572751096652,0.429858327949048,24.3333333333333,49.1851851851852,31.1481481481481,9.18518518518519,20.2407407407407
"33","P22",650,6,71,18,0.539413631017062,0.160638976671689,0.486000974812426,59.9814814814815,69.8148148148148,16,19.7037037037037,13.3333333333333
"34","P24",651,6,65,21,0.466939219938188,0.122535097724342,0.412526262959248,37.9137931034483,48.4827586206897,24.2068965517241,44.5172413793103,35.051724137931
"35","P25",652,6,41,17.0454545454545,0.465237658336887,0.127654838971124,0.438134999784767,33.7666666666667,48.7333333333333,33.5666666666667,30.7,21.4
"36","P26",653,6,56,15.5555555555556,0.447537995850707,0.106453946453359,0.299068773376254,17.7407407407407,32.2962962962963,16.962962962963,65.962962962963,41.0925925925926
"37","P27",654,6,55,10.4166666666667,0.581602565099486,0.14237005696487,0.486300199717898,19.9137931034483,33.2758620689655,16.3793103448276,56.0689655172414,48.2931034482759
"38","P28",655,6,66,7,0.517013637416368,0.0817978385947386,0.272598282057507,64.6964285714286,65.3214285714286,33.0714285714286,27.9285714285714,21.75
"39","P29",656,6,66,11,0.546764738188233,0.194496990806611,0.622321181079914,42.3888888888889,63.1851851851852,7.48148148148148,9.37037037037037,19.537037037037
"40","P30",657,6,89,16,0.45704947746704,0.130522119072343,0.510123417867551,19.7666666666667,68.8666666666667,16.1333333333333,84.3666666666667,18.8333333333333
"41","P31",658,6,60,24.4897959183673,0.511374532636404,0.0984825520305363,0.363560064611924,60.7777777777778,68.7777777777778,19.0740740740741,20.2592592592593,23.5925925925926
"42","P32",659,6,68,11.2244897959184,0.427543141141885,0.144926006621938,0.529761295158126,38.55,38.3,21.5666666666667,33.6,48.9166666666667
"43","P33",660,6,67,23.6842105263158,0.491213382184309,0.173488848307102,0.590591347015711,29.0333333333333,70.2666666666667,27.9333333333333,80.7,16.7
"44","P34",661,6,46,26.530612244898,0.461452634164121,0.139194565973759,0.426379089807191,33.5178571428571,50.8571428571429,35.1071428571429,16.8928571428571,26.4464285714286
"45","P35",662,6,61,33,0.533923650801816,0.203939887760283,0.591883619091858,19,72.7666666666667,15.6333333333333,81.2,13.7666666666667
"46","P36",663,6,52,15,0.639025832769363,0.158673835160033,0.510670267443977,31.6896551724138,58.8620689655172,26.9655172413793,59.5862068965517,32.7241379310345
"47","P39",664,6,50,11.2244897959184,0.468704776494956,0.141002108750664,0.520037284067672,57.3,59.7666666666667,15.0333333333333,21.9,31.0333333333333
"48","P41",665,6,48,10,0.455098794358979,0.0960779430618416,0.375063360616325,32.2833333333333,47.6666666666667,27.4333333333333,14.4666666666667,28.85
"49","P42",666,6,51,7,0.516735120136281,0.102589442190108,0.241576418016892,26.7666666666667,65.6,30.4666666666667,81.3333333333333,28.5
"50","P43",667,6,61,13.6363636363636,0.567426824407191,0.138366937530633,0.447683630566848,33.8965517241379,47.7586206896552,21.9655172413793,47.7586206896552,38.051724137931
