,age_group,image_url,pic_class,pic_type,layer,age,aq,dist
2214,2,P96_image-4_type-O_class-H.JPG,class-H,type-O,3,45,12.0,0.31895013659905025
2215,2,P96_image-5_type-I_class-C.JPG,class-C,type-I,3,45,12.0,0.3933864552421181
2216,2,P96_image-6_type-O_class-F.JPG,class-F,type-O,3,45,12.0,0.7749832981682873
2217,3,P97_image-1_type-S_class-F.JPG,class-F,type-S,3,61,27.5510204081633,0.24578995004354853
2218,3,P97_image-2_type-S_class-H.JPG,class-H,type-S,3,61,27.5510204081633,0.5020317792786737
2219,3,P97_image-3_type-I_class-C.JPG,class-C,type-I,3,61,27.5510204081633,0.19635644639136474
2220,3,P97_image-4_type-O_class-M.JPG,class-M,type-O,3,61,27.5510204081633,0.13523257299683866
2221,3,P97_image-5_type-O_class-H.JPG,class-H,type-O,3,61,27.5510204081633,0.38146865739827984
2222,3,P97_image-6_type-I_class-F.JPG,class-F,type-I,3,61,27.5510204081633,0.8188694633807655
2223,1,P98_image-1_type-S_class-H.JPG,class-H,type-S,3,36,11.458333333333302,1.1728764933479168
2224,1,P98_image-2_type-I_class-F.JPG,class-F,type-I,3,36,11.458333333333302,0.11213666128516553
2225,1,P98_image-3_type-I_class-H.JPG,class-H,type-I,3,36,11.458333333333302,0.5102028155011862
2226,1,P98_image-4_type-S_class-M.JPG,class-M,type-S,3,36,11.458333333333302,0.33256667018711095
2227,1,P98_image-5_type-O_class-C.JPG,class-C,type-O,3,36,11.458333333333302,0.013831163644932087
2228,1,P98_image-6_type-O_class-M.JPG,class-M,type-O,3,36,11.458333333333302,0.052731677638277574
2229,2,P99_image-1_type-O_class-C.JPG,class-C,type-O,3,52,23.4042553191489,0.02830446779244511
2230,2,P99_image-2_type-I_class-M.JPG,class-M,type-I,3,52,23.4042553191489,0.10460842882246846
2231,2,P99_image-3_type-O_class-F.JPG,class-F,type-O,3,52,23.4042553191489,0.2433300792568851
2232,2,P99_image-4_type-S_class-M.JPG,class-M,type-S,3,52,23.4042553191489,0.3303635901109149
2233,2,P99_image-5_type-S_class-C.JPG,class-C,type-S,3,52,23.4042553191489,0.3208374433148824
2234,2,P99_image-6_type-I_class-H.JPG,class-H,type-I,3,52,23.4042553191489,0.5479748679669052
2235,2,P100_image-1_type-O_class-F.JPG,class-F,type-O,3,45,15.306122448979599,0.08197543819282138
2236,2,P100_image-2_type-S_class-F.JPG,class-F,type-S,3,45,15.306122448979599,0.2734857672148122
2237,2,P100_image-3_type-I_class-C.JPG,class-C,type-I,3,45,15.306122448979599,0.08058470349943236
2238,2,P100_image-6_type-O_class-H.JPG,class-H,type-O,3,45,15.306122448979599,0.7663538476970935
2239,1,P101_image-1_type-O_class-M.JPG,class-M,type-O,3,25,30.851063829787197,0.07714399609155287
2240,1,P101_image-2_type-S_class-F.JPG,class-F,type-S,3,25,30.851063829787197,0.8582345499286615
2241,1,P101_image-3_type-I_class-F.JPG,class-F,type-I,3,25,30.851063829787197,0.219873645853488
2242,1,P101_image-4_type-O_class-H.JPG,class-H,type-O,3,25,30.851063829787197,0.4217061183496369
2243,1,P101_image-5_type-I_class-C.JPG,class-C,type-I,3,25,30.851063829787197,0.12143954036102889
2244,1,P101_image-6_type-S_class-H.JPG,class-H,type-S,3,25,30.851063829787197,1.1054391216684543
2245,3,P102_image-1_type-O_class-M.JPG,class-M,type-O,3,61,19.0,0.365284805257337
2246,3,P102_image-2_type-S_class-H.JPG,class-H,type-S,3,61,19.0,0.4678052868728343
2247,3,P102_image-3_type-S_class-M.JPG,class-M,type-S,3,61,19.0,0.895840731028392
2248,3,P102_image-4_type-O_class-C.JPG,class-C,type-O,3,61,19.0,0.051464777370300085
2249,3,P102_image-5_type-I_class-H.JPG,class-H,type-I,3,61,19.0,0.6155449193126006
2250,3,P102_image-6_type-I_class-F.JPG,class-F,type-I,3,61,19.0,0.28368219877962164
2251,1,P103_image-1_type-S_class-C.JPG,class-C,type-S,3,27,-1.0,0.4881033407173929
2252,1,P103_image-2_type-O_class-C.JPG,class-C,type-O,3,27,-1.0,0.6807306664050574
2253,1,P103_image-3_type-I_class-H.JPG,class-H,type-I,3,27,-1.0,1.03481889590982
2254,1,P103_image-4_type-I_class-M.JPG,class-M,type-I,3,27,-1.0,0.02963023437105705
