"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",103,1,68,11.2244897959184,0.73700652223507,0.341203531017463,1.0606820126369,54,58.6333333333333,29.8,25.9,27.95
"2","P100",104,1,45,15.3061224489796,1.15490445751609,0.226342281632893,0.710652924128287,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",105,1,25,30.8510638297872,0.450554138376394,0.282426916219203,0.955817869723096,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",106,1,61,19,0.845667398430292,0.419029630018671,1.38622288176051,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",107,1,27,-1,0.595467484944953,0.261493151006495,0.958392417848168,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",108,1,92,23,0.618610107922431,0.250093449958361,0.682337624867977,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",109,1,61,11,0.532328931368421,0.241786063373064,0.636032772673259,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",110,1,68,21,1.03484662321531,0.291535103886831,1.06894718778305,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",111,1,46,27.0833333333333,0.738626008187738,0.218389153121963,0.820821540203992,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",112,1,43,28,0.475958053983732,0.229789272278617,0.724392386207981,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",113,1,35,16,0.698029467709733,0.256965601030238,0.98039487213811,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",114,1,94,34.6938775510204,0.777457108318078,0.270613097464467,0.741406240474554,42.1,82.4,0,0,3.5
"13","P110",115,1,88,17,1.03663099193681,0.381471022726781,1.04525084609851,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",116,1,73,16.3265306122449,0.757404902860965,0.400643757897826,1.1477497058417,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",117,1,64,23,0.946566831572249,0.260166006835198,1.13233291646183,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",118,1,60,22,0.777787154553275,0.300314796840496,1.17166732759865,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",119,1,78,27.5510204081633,0.921357727586398,0.326579867512872,1.08827316408971,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",120,1,42,20,0.862344926363612,0.353304147470101,1.27374702933335,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
