,style,layer,dist
0,0,0,0.32067937646309885
1,0,0,0.34080868395710495
2,0,0,0.13696011157569243
3,0,0,0.19192561920617768
4,0,0,0.782938685767585
5,0,0,0.4584978925972527
6,0,0,0.11007082915614608
7,0,0,0.7928944026819778
8,0,0,0.23246968991997008
9,0,0,0.1945691074925615
10,0,0,0.12151930678348477
11,0,0,0.6416198399472358
12,0,0,0.22834841448437748
13,0,0,0.24065110554647984
14,0,0,0.4257571857165423
15,0,0,0.4553971207699534
16,0,0,0.7072772878896016
17,0,0,0.475399631757604
18,0,0,0.13862257381187426
19,0,1,0.20372399658916862
20,0,1,0.4540350159912788
21,0,1,0.13058362712703941
22,0,1,0.3905613714404499
23,0,1,0.7230664417545327
24,0,1,0.5714722426883734
25,0,1,0.10927943286442265
26,0,1,0.4886009683803323
27,0,1,0.2797653591099276
28,0,1,0.31630920628961157
29,0,1,0.12409590666475712
30,0,1,0.6673280919595633
31,0,1,0.16105229611624117
32,0,1,0.29441253745821494
33,0,1,0.5617045218523609
34,0,1,0.4737716914865334
35,0,1,0.5199429768441495
36,0,1,0.482460520497633
37,0,1,0.13182832578957815
38,0,2,0.15523414827958137
39,0,2,0.44702595719805815
40,0,2,0.12940871931111375
41,0,2,0.8016509234770106
42,0,2,0.5566817702079991
43,0,2,0.5795631413754749
44,0,2,0.1375641721921712
45,0,2,0.8197723148646245
46,0,2,0.354509118687818
47,0,2,0.4383107227808649
48,0,2,0.19143718672391252
49,0,2,0.690884443782777
50,0,2,0.17404499190519773
51,0,2,0.3233760799846892
52,0,2,0.3611781754014163
53,0,2,0.6543834204815521
54,0,2,0.48553349554247216
55,0,2,0.3843803829370306
56,0,2,0.1365937837547203
57,0,3,0.7521620555860097
58,0,3,1.03481889590982
59,0,3,0.19635644639136474
60,0,3,0.1315898391863295
61,0,3,0.31744625389996806
62,0,3,0.07412360790611272
63,0,3,0.6807306664050574
64,0,3,0.15348315209967422
65,0,3,0.24578995004354853
66,0,3,0.14011328225792408
67,0,3,0.6409684546200215
68,0,3,0.5080155021616278
69,0,3,0.1823771786537829
70,0,3,0.5733975994284675
71,0,3,0.07714399609155287
72,0,3,0.46640852385647014
73,0,3,0.7715267438933683
74,0,3,0.4560268585513172
75,0,3,0.23457874612633156
76,0,4,0.7224819358814282
77,0,4,0.6080303878154911
78,0,4,0.7909374631448265
79,0,4,0.7385929084979252
80,0,4,0.5524444165041222
81,0,4,0.21160934240923113
82,0,4,0.654126084756791
83,0,4,0.3644831326367354
84,0,4,0.6291336581060738
85,0,4,0.3800819612368649
86,0,4,0.3624898766753861
87,0,4,0.6110248832935725
88,0,4,1.2831148268657735
89,0,4,0.3248901027508132
90,0,4,0.35647700761863754
91,0,4,0.14091963369211868
92,0,4,0.7090432719632569
93,0,4,1.0296355196121503
94,0,4,0.14697417841604
95,0,5,0.5044270902865156
96,0,5,0.4013453754366635
97,0,5,0.27570304541321167
98,0,5,0.5214906681658543
99,0,5,0.6651491010181672
100,0,5,0.6885108405524392
101,0,5,0.3758289474722478
102,0,5,0.7240293970984133
103,0,5,0.4174491037889614
104,0,5,0.5767939354005431
105,0,5,0.3668343458468757
106,0,5,0.5888172927170365
107,0,5,0.4466234721143709
108,0,5,0.467207756444628
109,0,5,0.3608664992459175
110,0,5,0.7357751436388675
111,0,5,0.632320563245174
112,0,5,0.7240463395165917
113,0,5,0.3316735976625451
114,0,6,0.4261478465537927
115,0,6,0.4141284542305954
116,0,6,0.2305673479833492
117,0,6,0.5387241348448921
118,0,6,0.6433524336686725
119,0,6,0.7047920307425632
120,0,6,0.3810458131768595
121,0,6,0.6726591283578445
122,0,6,0.3769416159345961
123,0,6,0.534800715447245
124,0,6,0.3399865550588901
125,0,6,0.5339340359796079
126,0,6,0.3325505742741265
127,0,6,0.41710478354164016
128,0,6,0.3229488355536303
129,0,6,0.7157846854071794
130,0,6,0.6619000069292769
131,0,6,0.8096679245858887
132,0,6,0.3489521971363361
133,1,0,0.1775668477072474
134,1,0,0.5558348329996036
135,1,0,0.34793498916224364
136,1,0,0.3932584399460013
137,1,0,0.13585863306972557
138,1,0,0.19187834796930558
139,1,0,0.9719788541411631
140,1,0,0.45348655981836705
141,1,0,0.6698896322642496
142,1,0,0.23667226126429197
143,1,0,0.3010746085008442
144,1,0,0.26415378685915125
145,1,0,0.4719102143967968
146,1,0,0.38211692055213886
147,1,0,0.15055137881295244
148,1,0,0.19661907660025535
149,1,0,0.36384603018264505
150,1,0,0.807129605656506
151,1,0,0.8340606528913654
152,1,0,0.3462376609672908
153,1,0,0.29762939510976905
154,1,0,0.37616879595401054
155,1,0,0.5937417574076824
156,1,0,1.0430091275030975
157,1,0,0.13442645240911755
158,1,0,0.14611024491741387
159,1,0,0.5476243254712536
160,1,0,0.2682363605483944
161,1,0,0.6053946472461103
162,1,0,0.33489456907359816
163,1,0,0.049903131582790805
164,1,0,0.3355597973901733
165,1,0,0.28667616601266543
166,1,0,0.4499139834507784
167,1,0,0.2614702894848774
168,1,0,0.3357574735408573
169,1,0,0.30536633146068315
170,1,0,0.25359797851631394
171,1,0,0.6177913729126586
172,1,0,0.2628492726242153
173,1,0,0.3938436072702073
174,1,0,0.5721272565690271
175,1,0,0.16463313895043663
176,1,0,0.05800087441895019
177,1,0,0.3971003372869697
178,1,0,0.19612705553330112
179,1,0,0.8621390205053718
180,1,0,0.4871976650802401
181,1,0,0.12516767351120361
182,1,0,0.3566663907787796
183,1,0,0.956853055298121
184,1,0,0.7003375170182068
185,1,0,0.9028327260083282
186,1,0,0.49311318697133055
187,1,0,0.18268681351407645
188,1,0,0.5443025866249153
189,1,0,1.1231201180666568
190,1,0,0.33303268728953195
191,1,0,0.5225905377444245
192,1,0,0.4770550884699969
193,1,0,0.308926466034919
194,1,0,0.3361590318764649
195,1,0,0.8052511868026115
196,1,0,0.7262382731887036
197,1,0,0.3759128014180353
198,1,0,0.43559907230238504
199,1,0,0.44038237241192557
200,1,0,0.43059901552921986
201,1,0,0.10913019493957032
202,1,0,0.34576135679042797
203,1,0,0.4688041134642882
204,1,0,0.5558090357585017
205,1,0,0.8837806112456412
206,1,0,0.08674710797920782
207,1,0,0.16280289000916714
208,1,0,0.5513620312544312
209,1,0,0.07721337084827151
210,1,0,0.39823769823218336
211,1,0,0.34479627451076433
212,1,0,0.1920985915415685
213,1,0,0.4411112513671869
214,1,0,0.2243990345787158
215,1,0,0.2576665844892688
216,1,0,0.24547375355682
217,1,0,0.25451303544362536
218,1,0,0.26292399498197905
219,1,0,0.18941605832634356
220,1,0,0.40883554902093633
221,1,0,0.4107073891248605
222,1,0,0.39909290351964
223,1,0,0.9102750893426703
224,1,0,0.09978795204587021
225,1,0,0.6940875223135431
226,1,1,0.18349628474849888
227,1,1,0.7922407867882121
228,1,1,0.18197172575209053
229,1,1,0.6277704448031598
230,1,1,0.08046774185222061
231,1,1,0.2177689071582255
232,1,1,0.5024896268240949
233,1,1,0.6793976605498402
234,1,1,0.8196155033941013
235,1,1,0.2430134343886825
236,1,1,0.2578531108802684
237,1,1,0.12052219376758111
238,1,1,0.5201623216712691
239,1,1,0.4645802962526766
240,1,1,0.15118446050007683
241,1,1,0.21260586628931555
242,1,1,0.31533182492682377
243,1,1,0.5299942255840878
244,1,1,0.5164436853656496
245,1,1,0.13192086113861556
246,1,1,0.10118300347119902
247,1,1,0.19417314048404732
248,1,1,0.28745128231766137
249,1,1,0.5334233239430166
250,1,1,0.12295646016003725
251,1,1,0.12220412988212714
