"","Child","X","layer","age","aq","scoreByMean","scoreByStd","scoreByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",515,5,68,11.2244897959184,0.574496216182335,0.12629062320064,0.432368970825522,54,58.6333333333333,29.8,25.9,27.95
"2","P100",516,5,45,15.3061224489796,0.60197653944648,0.12664553886925,0.397730301406009,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",517,5,25,30.8510638297872,0.402654502730074,0.125675828053727,0.466327020368255,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",518,5,61,19,0.568360683222234,0.0838105504969189,0.292318140619601,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",519,5,27,-1,0.305519434654938,0.0563058549091956,0.183145810671349,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",520,5,92,23,0.491331759071979,0.112428105492386,0.347983700660004,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",521,5,61,11,0.697292706500877,0.103225667897918,0.2993016130173,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",522,5,68,21,0.598027096931416,0.153304895040907,0.513729894138845,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",523,5,46,27.0833333333333,0.445878721062904,0.105220883209515,0.332815760003109,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",524,5,43,28,0.460938230901073,0.146993122060687,0.464243647576542,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",525,5,35,16,0.422502227613538,0.106220523714498,0.324709716954308,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",526,5,94,34.6938775510204,0.469544064754577,0.109969852448267,0.359567715371698,42.1,82.4,0,0,3.5
"13","P110",527,5,88,17,0.695095713767283,0.0889476236537059,0.279599140794276,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",528,5,73,16.3265306122449,0.530812995460884,0.129855423068001,0.461983573862744,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",529,5,64,23,0.480645279364909,0.138937849353839,0.533707867625443,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",530,5,60,22,0.514301532258791,0.139013824963771,0.472913489508802,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",531,5,78,27.5510204081633,0.609453556767549,0.158564941768944,0.606669624001751,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",532,5,42,20,0.520392236625743,0.170715528379352,0.514230667199109,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",533,5,54,17.7083333333333,0.400924904182297,0.108604487095008,0.365037242271344,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",534,5,38,12,0.377382484866314,0.0929604762060466,0.382393635949661,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",535,5,46,9,0.475483444280846,0.084702320112277,0.291664640830999,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",536,5,59,15,0.680171094197329,0.146942559281976,0.479855815685149,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",537,5,66,-1,0.566777967929776,0.143582518352789,0.445308735899475,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",538,5,58,18,0.487949383913408,0.111258610346638,0.329008367176079,19.75,67.0555555555556,87,25.7222222222222,17
"25","P14",539,5,38,20,0.482405423281254,0.132255093725795,0.48742742760649,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",540,5,29,-1,0.442863435921277,0.0983783932178465,0.287594726323906,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",541,5,62,35,0.538175438158825,0.130204365590254,0.41395010572161,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",542,5,67,6,0.567567058137421,0.110904961940251,0.356518780641512,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",543,5,53,20,0.66950271485926,0.0992401753691308,0.394751492161246,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",544,5,71,15,0.589959624206345,0.167263381111157,0.567324327501365,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
