"","Child","X","layer","age","aq","priorByMean","priorByStd","priorByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",412,4,68,11.2244897959184,0.579646406669301,0.505636227388784,1.41287506942339,54,58.6333333333333,29.8,25.9,27.95
"2","P100",413,4,45,15.3061224489796,0.663970510871714,0.291340884276756,0.944002861115964,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",414,4,25,30.8510638297872,0.498163018789867,0.29904700254155,0.956456123805335,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",415,4,61,19,0.605817777868839,0.296809484741302,1.00446862687134,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",416,4,27,-1,0.800987757205372,0.404310897804393,1.34377388598597,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",417,4,92,23,0.496283338944256,0.256379562329129,0.916033865134919,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",418,4,61,11,1.07037277731322,0.655660236764512,1.58907065354557,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",419,4,68,21,0.954670049988883,0.733427093906871,1.77745446645581,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",420,4,46,27.0833333333333,0.857312371391383,0.525418893625281,1.66768552180319,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",421,4,43,28,0.331937858936883,0.253923932334809,0.811140258434152,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",422,4,35,16,0.887911826961741,0.540880371995354,1.74048405406281,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",423,4,94,34.6938775510204,0.786513792503055,0.463073082203951,1.2053178496979,42.1,82.4,0,0,3.5
"13","P110",424,4,88,17,0.969652932714204,0.549485060960957,1.68294537335026,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",425,4,73,16.3265306122449,0.496685837006514,0.296571234096174,1.1026260899577,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",426,4,64,23,0.837150342072715,0.582680780136962,1.75095903295893,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",427,4,60,22,1.07237882419281,0.369006140992687,1.22807658118179,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",428,4,78,27.5510204081633,0.893999441245206,0.437496974215591,1.26266899586739,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",429,4,42,20,0.76986493689148,0.325497523776874,1.14586864978565,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",430,4,54,17.7083333333333,0.638822299312422,0.348571287636082,1.29909320568486,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",431,4,38,12,0.759964312849187,0.405445665895691,1.33227191205026,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",432,4,46,9,0.687112330605213,0.369941588143575,1.16582131904557,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",433,4,59,15,1.0157396056326,0.468884465619168,1.56998906416576,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",434,4,66,-1,0.749283340679854,0.229878283476963,0.761480324712912,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",435,4,58,18,0.583406177203694,0.340567407620298,0.882304703654677,19.75,67.0555555555556,87,25.7222222222222,17
"25","P14",436,4,38,20,0.509934513744603,0.335184118976054,1.22617632115864,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",437,4,29,-1,0.555504502564378,0.277080213357529,1.00806123523343,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",438,4,62,35,0.394690002434561,0.210915018627918,0.72731622711459,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",439,4,67,6,0.639498086827072,0.413548425066461,1.5515536875447,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",440,4,53,20,0.633939754472857,0.376928598556933,1.10762856935658,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",441,4,71,15,0.752610516319204,0.434446041915182,1.7185657454213,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
