"","Child","X","layer","age","aq","scoreByMean","scoreByStd","scoreByMaxmin","MeanCompl","MeanMeaning","MeanTracing","MeanColoring","MeanScribble"
"1","P10",309,3,68,11.2244897959184,0.764233395137464,0.450751967771864,1.4968144773041,54,58.6333333333333,29.8,25.9,27.95
"2","P100",310,3,45,15.3061224489796,1.18677036349592,0.326085016075205,1.12274377954088,28.6153846153846,37.3846153846154,14.5769230769231,16.8846153846154,33.6346153846154
"3","P101",311,3,25,30.8510638297872,0.557840640722924,0.311323525823749,1.14460908063213,15.0285714285714,23.6285714285714,15.4,23.7142857142857,50.8857142857143
"4","P102",312,3,61,19,0.846948065220892,0.410957996348587,1.31583048856749,43.5,50.2857142857143,15.2,24.7142857142857,31.1571428571429
"5","P103",313,3,27,-1,0.937690520990189,0.41045592723405,1.54911512452388,15.6029411764706,15.3235294117647,13.2647058823529,12.3823529411765,60.7941176470588
"6","P104",314,3,92,23,0.565841072725486,0.285816842322738,1.07360687461238,60.3611111111111,75.9166666666667,17.7777777777778,15.3611111111111,13
"7","P105",315,3,61,11,0.910952297842983,0.320330563717669,0.958579742379551,42.5952380952381,68.8571428571429,13.4285714285714,43.7619047619048,20.4047619047619
"8","P106",316,3,68,21,1.17749042695458,0.509719202058764,1.53234395290756,62.3285714285714,70.4857142857143,9.51428571428571,16.6285714285714,9.75714285714286
"9","P107",317,3,46,27.0833333333333,0.926184381468122,0.443817154888215,1.32603152108455,14.8428571428571,23,8.85714285714286,24.3142857142857,49.1857142857143
"10","P108",318,3,43,28,0.455954058198918,0.290695164345418,0.888219491262574,21.7916666666667,28.7777777777778,7.66666666666667,16.1111111111111,33.8194444444444
"11","P109",319,3,35,16,0.717420809089019,0.431938115754625,1.31124498674212,20.9411764705882,47.2352941176471,30.9411764705882,27.5294117647059,33.8088235294118
"12","P11",320,3,94,34.6938775510204,0.796530942036264,0.35412662285239,1.05650735520674,42.1,82.4,0,0,3.5
"13","P110",321,3,88,17,1.11179577294429,0.547141342876836,1.56166781876554,54.5142857142857,65.4,17.7714285714286,36.0857142857143,16.3571428571429
"14","P111",322,3,73,16.3265306122449,0.705384491772103,0.463735677755379,1.25062250066902,70.3888888888889,84.1944444444444,15.8333333333333,14.9444444444444,15.7638888888889
"15","P113",323,3,64,23,0.968638134436271,0.340330692793005,1.47134165901745,11.3055555555556,74.1388888888889,93.0277777777778,4.16666666666667,4.31944444444444
"16","P115",324,3,60,22,0.895559321814644,0.366510650197914,1.25635967584298,44.3,57.5333333333333,9.73333333333333,15.7,17.6166666666667
"17","P116",325,3,78,27.5510204081633,0.989322095328157,0.465721032671204,1.40610016768325,69,78.5294117647059,14.7352941176471,29.8823529411765,15.7794117647059
"18","P117",326,3,42,20,1.00338306717743,0.417615989110645,1.10830201825681,34.4166666666667,33.3333333333333,22.3888888888889,16.4444444444444,29.7916666666667
"19","P118",327,3,54,17.7083333333333,0.974623133303695,0.379585069799944,1.26624299682966,4.83333333333333,67.4444444444444,96.7777777777778,0,0
"20","P119",328,3,38,12,0.713594868997994,0.309518273152911,0.934998934983935,16.4,30.1,21.8333333333333,25.7,50.4166666666667
"21","P12",329,3,46,9,0.80670894860588,0.358946473171576,1.2600718590999,0,18.1666666666667,3.83333333333333,44.8333333333333,30.6666666666667
"22","P120",330,3,59,15,0.950255086573513,0.395020924968765,1.3293286413741,58.948275862069,72.4137931034483,16.1724137931034,39.3103448275862,17.2586206896552
"23","P121",331,3,66,-1,1.0835086823851,0.373644662270411,1.13408834756874,61,77.2692307692308,16.2307692307692,19.7307692307692,10.8846153846154
"24","P13",332,3,58,18,0.890152551736263,0.36715857268501,1.17647602626598,19.75,67.0555555555556,87,25.7222222222222,17
"25","P14",333,3,38,20,0.735859907865376,0.36997135784588,1.2488524608796,29.9838709677419,44.1290322580645,37.0645161290323,39.9354838709677,33.0483870967742
"26","P15",334,3,29,-1,0.76803795311211,0.373321125242088,1.25037102853888,22.5178571428571,23.3571428571429,10.8928571428571,11.5714285714286,61.3035714285714
"27","P16",335,3,62,35,0.412565975090441,0.226179566544101,0.866614914179774,18.3,24.9666666666667,12.2,23.0666666666667,52.7333333333333
"28","P17",336,3,67,6,0.673536775426902,0.481542321879479,1.41661510666148,37.8833333333333,41.4666666666667,15.7666666666667,30.9,36.2833333333333
"29","P18",337,3,53,20,0.904638086379742,0.429395240440269,1.30483232342938,42.3448275862069,68.448275862069,11.8620689655172,60.8965517241379,20.9310344827586
"30","P19",338,3,71,15,0.905699211362447,0.377006765497264,1.20264646998553,53.875,72.0714285714286,15.8928571428571,26.25,11.5178571428571
"31","P20",339,3,49,15.8536585365854,0.697016087028046,0.377492460260684,1.37680622699857,36.0322580645161,47.8709677419355,27.5161290322581,47.5161290322581,36.8225806451613
"32","P21",340,3,60,16,0.934594711959481,0.427314923842838,1.52540169641731,24.3333333333333,49.1851851851852,31.1481481481481,9.18518518518519,20.2407407407407
"33","P22",341,3,71,18,0.759189419348014,0.383428282811749,1.49275111606942,59.9814814814815,69.8148148148148,16,19.7037037037037,13.3333333333333
"34","P24",342,3,65,21,0.679682254814022,0.352274693555508,1.10341677392905,37.9137931034483,48.4827586206897,24.2068965517241,44.5172413793103,35.051724137931
"35","P25",343,3,41,17.0454545454545,0.455905060583164,0.255858072916036,0.972908444574447,33.7666666666667,48.7333333333333,33.5666666666667,30.7,21.4
"36","P26",344,3,56,15.5555555555556,1.01100453471208,0.484481667078936,1.372737570714,17.7407407407407,32.2962962962963,16.962962962963,65.962962962963,41.0925925925926
"37","P27",345,3,55,10.4166666666667,0.786556108449709,0.396330312381117,1.37019024857834,19.9137931034483,33.2758620689655,16.3793103448276,56.0689655172414,48.2931034482759
"38","P28",346,3,66,7,0.990294823733803,0.46403969067508,1.57386394772175,64.6964285714286,65.3214285714286,33.0714285714286,27.9285714285714,21.75
"39","P29",347,3,66,11,0.870823614391426,0.564600965610468,1.60185104476038,42.3888888888889,63.1851851851852,7.48148148148148,9.37037037037037,19.537037037037
"40","P30",348,3,89,16,0.797146605982396,0.386033598301628,1.26949794540651,19.7666666666667,68.8666666666667,16.1333333333333,84.3666666666667,18.8333333333333
"41","P31",349,3,60,24.4897959183673,0.87505642124457,0.398269218190373,1.16008217045831,60.7777777777778,68.7777777777778,19.0740740740741,20.2592592592593,23.5925925925926
"42","P32",350,3,68,11.2244897959184,0.839420750322131,0.511004813802837,1.75038878640406,38.55,38.3,21.5666666666667,33.6,48.9166666666667
"43","P33",351,3,67,23.6842105263158,0.627530659283022,0.310171346127237,1.05599166755534,29.0333333333333,70.2666666666667,27.9333333333333,80.7,16.7
"44","P34",352,3,46,26.530612244898,0.948677310726905,0.484512951704624,1.3751550230053,33.5178571428571,50.8571428571429,35.1071428571429,16.8928571428571,26.4464285714286
"45","P35",353,3,61,33,0.830435946907318,0.352671553664639,1.09546493087874,19,72.7666666666667,15.6333333333333,81.2,13.7666666666667
"46","P36",354,3,52,15,1.1413492028165,0.442235629235404,1.33595131260688,31.6896551724138,58.8620689655172,26.9655172413793,59.5862068965517,32.7241379310345
"47","P39",355,3,50,11.2244897959184,1.05148302428492,0.57204886002402,1.62332490112575,57.3,59.7666666666667,15.0333333333333,21.9,31.0333333333333
"48","P41",356,3,48,10,0.94755312341392,0.491520383581551,1.57682932821829,32.2833333333333,47.6666666666667,27.4333333333333,14.4666666666667,28.85
"49","P42",357,3,51,7,1.072728755927,0.661633053316338,1.41323011525465,26.7666666666667,65.6,30.4666666666667,81.3333333333333,28.5
"50","P43",358,3,61,13.6363636363636,0.949299180558466,0.513283639736401,1.73402398000102,33.8965517241379,47.7586206896552,21.9655172413793,47.7586206896552,38.051724137931
"51","P44",359,3,38,22,0.930669504794486,0.311141719189374,1.07242462529334,22.8620689655172,27.2758620689655,19.551724137931,37.0344827586207,49.7241379310345
"52","P45",360,3,36,20,1.0937836288657,0.493387651555232,1.41816468248246,24.0862068965517,43.6896551724138,45.2068965517241,47.5172413793103,33.6896551724138
"53","P46",361,3,60,17.1428571428571,1.1979046793034,0.514538191359962,1.56742371327228,57.2619047619048,69.1904761904762,16.6190476190476,30.4285714285714,24.8571428571429
