"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOMP"
"64","P53","image-2","type-O","class-C","P53_image-2_type-O_class-C.JPG",35,72.1666666666667
"65","P31","image-3","type-I","class-M","P31_image-3_type-I_class-M.JPG",60,71
"66","P88","image-4","type-I","class-M","P88_image-4_type-I_class-M.JPG",57,70.9166666666667
"67","P77","image-4","type-I","class-F","P77_image-4_type-I_class-F.JPG",60,70.5833333333333
"68","P73","image-5","type-S","class-H","P73_image-5_type-S_class-H.JPG",76,70.0833333333333
"69","P51","image-5","type-S","class-F","P51_image-5_type-S_class-F.JPG",37,69.75
"70","P59","image-4","type-S","class-M","P59_image-4_type-S_class-M.JPG",49,69.6
"71","P91","image-1","type-I","class-H","P91_image-1_type-I_class-H.JPG",58,69.4285714285714
"72","P28","image-2","type-O","class-H","P28_image-2_type-O_class-H.JPG",66,69.3333333333333
"73","P29","image-4","type-I","class-H","P29_image-4_type-I_class-H.JPG",66,68.8
"74","P17","image-5","type-O","class-C","P17_image-5_type-O_class-C.JPG",67,68.6
"75","P31","image-2","type-O","class-H","P31_image-2_type-O_class-H.JPG",60,68.25
"76","P10","image-4","type-O","class-C","P10_image-4_type-O_class-C.JPG",68,68.2
"77","P94","image-3","type-O","class-C","P94_image-3_type-O_class-C.JPG",63,67.9
"78","P111","image-6","type-O","class-C","P111_image-6_type-O_class-C.JPG",73,67.4285714285714
"79","P10","image-6","type-S","class-M","P10_image-6_type-S_class-M.JPG",68,67.3
"80","P71","image-1","type-S","class-C","P71_image-1_type-S_class-C.JPG",56,67.2857142857143
"81","P116","image-3","type-I","class-H","P116_image-3_type-I_class-H.JPG",78,66
"82","P22","image-4","type-O","class-C","P22_image-4_type-O_class-C.JPG",71,66
"83","P46","image-5","type-S","class-H","P46_image-5_type-S_class-H.JPG",60,65.9166666666667
"84","P85","image-1","type-O","class-H","P85_image-1_type-O_class-H.JPG",80,65.625
"85","P110","image-3","type-S","class-M","P110_image-3_type-S_class-M.JPG",88,65.5
"86","P81","image-6","type-S","class-F","P81_image-6_type-S_class-F.JPG",59,65.4166666666667
"87","P31","image-6","type-S","class-C","P31_image-6_type-S_class-C.JPG",60,65.1
"88","P67","image-2","type-I","class-M","P67_image-2_type-I_class-M.JPG",64,64.6428571428571
"89","P85","image-5","type-S","class-H","P85_image-5_type-S_class-H.JPG",80,64.3571428571429
"90","P60","image-4","type-O","class-F","P60_image-4_type-O_class-F.JPG",75,64.3
"91","P57","image-3","type-O","class-F","P57_image-3_type-O_class-F.JPG",90,64.1666666666667
"92","P59","image-3","type-I","class-H","P59_image-3_type-I_class-H.JPG",49,64.125
"93","P32","image-2","type-S","class-F","P32_image-2_type-S_class-F.JPG",68,63.7
"94","P121","image-4","type-O","class-C","P121_image-4_type-O_class-C.JPG",66,63.6
"95","P31","image-4","type-O","class-F","P31_image-4_type-O_class-F.JPG",60,63.5
"96","P83","image-5","type-S","class-M","P83_image-5_type-S_class-M.JPG",74,62.7
"97","P68","image-2","type-S","class-C","P68_image-2_type-S_class-C.JPG",70,62.5833333333333
"98","P120","image-4","type-I","class-H","P120_image-4_type-I_class-H.JPG",59,62.5
"99","P22","image-6","type-S","class-C","P22_image-6_type-S_class-C.JPG",71,62.375
"100","P104","image-1","type-I","class-C","P104_image-1_type-I_class-C.JPG",92,62.25
"101","P115","image-4","type-O","class-H","P115_image-4_type-O_class-H.JPG",60,62.2
"102","P57","image-6","type-S","class-C","P57_image-6_type-S_class-C.JPG",90,62.0833333333333
"103","P85","image-6","type-O","class-M","P85_image-6_type-O_class-M.JPG",80,62.0833333333333
"104","P68","image-6","type-I","class-C","P68_image-6_type-I_class-C.JPG",70,61.9
