,style,layer,dist
0,0,0,0.32067937646309885
1,0,0,0.34080868395710495
2,0,0,0.13696011157569243
3,0,0,0.19192561920617768
4,0,0,0.782938685767585
5,0,0,0.4584978925972527
6,0,0,0.11007082915614608
7,0,1,0.20372399658916862
8,0,1,0.4540350159912788
9,0,1,0.13058362712703941
10,0,1,0.3905613714404499
11,0,1,0.7230664417545327
12,0,1,0.5714722426883734
13,0,1,0.10927943286442265
14,0,2,0.15523414827958137
15,0,2,0.44702595719805815
16,0,2,0.12940871931111375
17,0,2,0.8016509234770106
18,0,2,0.5566817702079991
19,0,2,0.5795631413754749
20,0,2,0.1375641721921712
21,0,3,0.7521620555860097
22,0,3,1.03481889590982
23,0,3,0.19635644639136474
24,0,3,0.1315898391863295
25,0,3,0.31744625389996806
26,0,3,0.07412360790611272
27,0,3,0.6807306664050574
28,0,4,0.7224819358814282
29,0,4,0.6080303878154911
30,0,4,0.7909374631448265
31,0,4,0.7385929084979252
32,0,4,0.5524444165041222
33,0,4,0.21160934240923113
34,0,4,0.654126084756791
35,0,5,0.5044270902865156
36,0,5,0.4013453754366635
37,0,5,0.27570304541321167
38,0,5,0.5214906681658543
39,0,5,0.6651491010181672
40,0,5,0.6885108405524392
41,0,5,0.3758289474722478
42,0,6,0.4261478465537927
43,0,6,0.4141284542305954
44,0,6,0.2305673479833492
45,0,6,0.5387241348448921
46,0,6,0.6433524336686725
47,0,6,0.7047920307425632
48,0,6,0.3810458131768595
49,1,0,0.1775668477072474
50,1,0,0.5558348329996036
51,1,0,0.34793498916224364
52,1,0,0.3932584399460013
53,1,0,0.13585863306972557
54,1,0,0.19187834796930558
55,1,0,0.9719788541411631
56,1,0,0.45348655981836705
57,1,0,0.6698896322642496
58,1,0,0.23667226126429197
59,1,0,0.3010746085008442
60,1,0,0.26415378685915125
61,1,0,0.4719102143967968
62,1,0,0.38211692055213886
63,1,0,0.15055137881295244
64,1,0,0.19661907660025535
65,1,0,0.36384603018264505
66,1,0,0.807129605656506
67,1,0,0.8340606528913654
68,1,0,0.3462376609672908
69,1,0,0.29762939510976905
70,1,0,0.37616879595401054
71,1,0,0.5937417574076824
72,1,0,1.0430091275030975
73,1,0,0.13442645240911755
74,1,0,0.14611024491741387
75,1,0,0.5476243254712536
76,1,0,0.2682363605483944
77,1,0,0.6053946472461103
78,1,0,0.33489456907359816
79,1,0,0.049903131582790805
80,1,0,0.3355597973901733
81,1,0,0.28667616601266543
82,1,0,0.4499139834507784
83,1,0,0.2614702894848774
84,1,0,0.3357574735408573
85,1,0,0.30536633146068315
86,1,0,0.25359797851631394
87,1,0,0.6177913729126586
88,1,0,0.2628492726242153
89,1,0,0.3938436072702073
90,1,0,0.5721272565690271
91,1,0,0.16463313895043663
92,1,0,0.05800087441895019
93,1,0,0.3971003372869697
94,1,0,0.19612705553330112
95,1,0,0.8621390205053718
96,1,0,0.4871976650802401
97,1,0,0.12516767351120361
98,1,0,0.3566663907787796
99,1,0,0.956853055298121
100,1,0,0.7003375170182068
101,1,0,0.9028327260083282
102,1,0,0.49311318697133055
103,1,0,0.18268681351407645
104,1,0,0.5443025866249153
105,1,0,1.1231201180666568
106,1,0,0.33303268728953195
107,1,0,0.5225905377444245
108,1,1,0.18349628474849888
109,1,1,0.7922407867882121
110,1,1,0.18197172575209053
111,1,1,0.6277704448031598
112,1,1,0.08046774185222061
113,1,1,0.2177689071582255
114,1,1,0.5024896268240949
115,1,1,0.6793976605498402
116,1,1,0.8196155033941013
117,1,1,0.2430134343886825
118,1,1,0.2578531108802684
119,1,1,0.12052219376758111
120,1,1,0.5201623216712691
121,1,1,0.4645802962526766
122,1,1,0.15118446050007683
123,1,1,0.21260586628931555
124,1,1,0.31533182492682377
125,1,1,0.5299942255840878
126,1,1,0.5164436853656496
127,1,1,0.13192086113861556
128,1,1,0.10118300347119902
129,1,1,0.19417314048404732
130,1,1,0.28745128231766137
131,1,1,0.5334233239430166
132,1,1,0.12295646016003725
133,1,1,0.12220412988212714
134,1,1,0.29246982722299286
135,1,1,0.19956586841065094
136,1,1,0.7200696305873779
137,1,1,0.1960939871110099
138,1,1,0.03425332176125806
139,1,1,0.30378428280546554
140,1,1,0.1017077152747845
141,1,1,0.37732236494339055
142,1,1,0.16147006109491102
143,1,1,0.3367401999586167
144,1,1,0.37532612132013476
145,1,1,0.13534523326975278
146,1,1,0.3991083345740387
147,1,1,0.24022231233620361
148,1,1,0.6800271107239217
149,1,1,0.4471852726617769
150,1,1,0.185223659092281
151,1,1,0.07578173371844288
152,1,1,0.6426130417713045
153,1,1,0.21282153766575385
154,1,1,0.4592199883314446
155,1,1,0.6667034169954191
156,1,1,0.12710232799417054
157,1,1,0.4539687145019806
158,1,1,1.0630627975212419
159,1,1,0.4697718397402899
160,1,1,0.5300145846861166
161,1,1,0.13465446254065683
162,1,1,0.17263709064049249
163,1,1,0.24061357380081938
164,1,1,0.7737990704692019
165,1,1,0.3987754420182731
166,1,1,0.4055895750027825
167,1,2,0.06570353640209103
168,1,2,0.9553430004245225
169,1,2,0.21277048524813136
170,1,2,0.4365356819823546
171,1,2,0.05254918876318704
172,1,2,0.21092944823800897
173,1,2,0.23066695587673025
174,1,2,0.6911462703270248
175,1,2,0.6714131322662911
176,1,2,0.15873293139349642
177,1,2,0.18645352999552267
178,1,2,0.07079596863099746
179,1,2,0.7017438397269709
180,1,2,0.34676766665038383
181,1,2,0.1404503055287616
182,1,2,0.07834461442576157
183,1,2,0.184941617192677
184,1,2,0.39671351010642264
185,1,2,0.1573153312890293
186,1,2,0.08619694425724311
187,1,2,0.03635272993395866
188,1,2,0.21688342886919187
189,1,2,0.2220955970679911
190,1,2,0.3171856690955498
191,1,2,0.18557520138432426
192,1,2,0.1935901142906139
193,1,2,0.2538772873966384
194,1,2,0.11054711193499478
195,1,2,0.9267546934192945
196,1,2,0.11328319915340845
197,1,2,0.009129900003195024
198,1,2,0.3259353385065997
199,1,2,0.06972442644498178
200,1,2,0.32509544785465616
201,1,2,0.09981301388580244
202,1,2,0.07807727454115687
203,1,2,0.17953131971066594
204,1,2,0.08209125530489403
205,1,2,0.35205309628510706
206,1,2,0.1889124296902498
207,1,2,0.8069070906912859
208,1,2,0.46307739277294935
209,1,2,0.24776213479428588
210,1,2,0.06133063352554169
211,1,2,0.7756818247346305
212,1,2,0.22048908354878638
213,1,2,0.20034636972576148
214,1,2,0.7386453689816954
215,1,2,0.06627747299652942
216,1,2,0.38080840204279875
217,1,2,0.3807021038867969
218,1,2,0.34292532045857516
219,1,2,0.4976514657963833
220,1,2,0.07803850434911219
221,1,2,0.17478550976432317
222,1,2,0.11822377519135607
223,1,2,0.43588704190183836
224,1,2,0.3322986000876794
225,1,2,0.29392094996801743
226,1,3,0.031963353758912794
227,1,3,0.6195563520443381
228,1,3,0.7534646516801939
229,1,3,0.0867924955577033
230,1,3,0.05846954734610588
231,1,3,0.3051327262001029
232,1,3,0.19222086994485
233,1,3,0.6505187866500521
234,1,3,1.1577526158066456
235,1,3,0.10196289884578247
236,1,3,0.4244464948346145
237,1,3,0.051452572496621385
238,1,3,0.31096970225319187
239,1,3,1.238073170038784
240,1,3,0.15164260436935517
241,1,3,0.04129493829736752
242,1,3,0.7346197335164568
243,1,3,1.4023747341754738
244,1,3,0.19327341807604292
245,1,3,0.05217181471911758
246,1,3,0.02062964290625935
247,1,3,0.5638994110629352
248,1,3,0.12021357369642394
249,1,3,0.3777766429293751
250,1,3,0.059791224433247914
